2013 rank,City,State,2013 estimate,2010 Census,Change,2013 land area,2013 population density,Location
99,Richmond[15],Virginia,214114,204214,0.0485,59.8æsqæmi,"3,415æperæsqæmi",37.5314ÁN 77.4760ÁW
100,San Bernardino,California,213708,209924,0.018,59.2æsqæmi,"3,546æperæsqæmi",34.1393ÁN 117.2953ÁW
101,Birmingham,Alabama,212113,212237,-0.0006,146.1æsqæmi,"1,453æperæsqæmi",33.5274ÁN 86.7990ÁW
102,Spokane,Washington,210721,208916,0.0086,59.2æsqæmi,"3,526æperæsqæmi",47.6736ÁN 117.4166ÁW
103,Rochester,New York,210358,210565,-0.001,35.8æsqæmi,"5,885æperæsqæmi",43.1699ÁN 77.6169ÁW
104,Des Moines,Iowa,207510,203433,0.02,80.9æsqæmi,"2,516æperæsqæmi",41.5739ÁN 93.6167ÁW
105,Modesto,California,204933,201165,0.0187,36.9æsqæmi,"5,456æperæsqæmi",37.6609ÁN 120.9891ÁW
106,Fayetteville,North Carolina,204408,200564,0.0192,145.8æsqæmi,"1,375æperæsqæmi",35.0851ÁN 78.9803ÁW
107,Tacoma,Washington,203446,198397,0.0254,49.7æsqæmi,"3,990æperæsqæmi",47.2522ÁN 122.4598ÁW
108,Oxnard,California,203007,197899,0.0258,26.9æsqæmi,"7,358æperæsqæmi",34.2023ÁN 119.2046ÁW
109,Fontana,California,203003,196069,0.0354,42.4æsqæmi,"4,621æperæsqæmi",34.1088ÁN 117.4627ÁW
110,Columbus[23],Georgia,202824,189885,0.0681,216.4æsqæmi,878æperæsqæmi,32.5102ÁN 84.8749ÁW
111,Montgomery,Alabama,201332,205764,-0.0215,159.6æsqæmi,"1,290æperæsqæmi",32.3463ÁN 86.2686ÁW
112,Moreno Valley,California,201175,193365,0.0404,51.3æsqæmi,"3,771æperæsqæmi",33.9233ÁN 117.2057ÁW
113,Shreveport,Louisiana,200327,199311,0.0051,105.4æsqæmi,"1,891æperæsqæmi",32.4670ÁN 93.7927ÁW
114,Aurora,Illinois,199963,197899,0.0104,44.9æsqæmi,"4,404æperæsqæmi",41.7635ÁN 88.2901ÁW
115,Yonkers,New York,199766,195976,0.0193,18.0æsqæmi,"10,880æperæsqæmi",40.9459ÁN 73.8674ÁW
116,Akron,Ohio,198100,199110,-0.0051,62.0æsqæmi,"3,210æperæsqæmi",41.0805ÁN 81.5214ÁW
117,Huntington Beach,California,197575,189992,0.0399,26.7æsqæmi,"7,103æperæsqæmi",33.6906ÁN 118.0093ÁW
118,Little Rock,Arkansas,197357,193524,0.0198,119.2æsqæmi,"1,624æperæsqæmi",34.7254ÁN 92.3586ÁW
119,Augusta[24],Georgia,197350,195844,0.0077,302.5æsqæmi,647æperæsqæmi,33.3655ÁN 82.0734ÁW
120,Amarillo,Texas,196429,190695,0.0301,99.5æsqæmi,"1,917æperæsqæmi",35.1978ÁN 101.8287ÁW
121,Glendale,California,196021,191719,0.0224,30.5æsqæmi,"6,295æperæsqæmi",34.1814ÁN 118.2458ÁW
122,Mobile,Alabama,194899,195111,-0.0011,139.1æsqæmi,"1,403æperæsqæmi",30.6684ÁN 88.1002ÁW
123,Grand Rapids,Michigan,192294,188040,0.0226,44.4æsqæmi,"4,236æperæsqæmi",42.9612ÁN 85.6556ÁW
124,Salt Lake City,Utah,191180,186440,0.0254,111.1æsqæmi,"1,678æperæsqæmi",40.7785ÁN 111.9314ÁW
125,Tallahassee,Florida,186411,181376,0.0278,100.2æsqæmi,"1,809æperæsqæmi",30.4551ÁN 84.2534ÁW
126,Huntsville,Alabama,186254,180105,0.0341,209.1æsqæmi,862æperæsqæmi,34.7843ÁN 86.5390ÁW
127,Grand Prairie,Texas,183372,175396,0.0455,72.1æsqæmi,"2,433æperæsqæmi",32.6842ÁN 97.0210ÁW
