"X2013.rank","City","State","X2013estimate","X2010Census","Change","X2013landarea","X2013populationdensity","Location","lat","lon"
"252","Clearwater","Florida",109703,107685,"0.0187",256,4213,"27.9795¡N 82.7663¡W",279795,-827663
"253","Waterbury","Connecticut",109676,110366,"-0.0063",285,3870,"41.5585¡N 73.0367¡W",415585,-730367
"254","Gresham","Oregon",109397,105594,"0.036",232,4551,"45.5023¡N 122.4416¡W",455023,-1224416
"255","Fairfield","California",109320,105321,"0.038",374,2817,"38.2568¡N 122.0397¡W",382568,-1220397
"256","Billings","Montana",109059,104170,"0.0469",434,2399,"45.7895¡N 108.5499¡W",457895,-1085499
"257","Lowell","Massachusetts",108861,106519,"0.022",136,7842,"42.6389¡N 71.3221¡W",426389,-713221
"258","Ventura","California",108817,106433,"0.0224",217,4915,"34.2681¡N 119.2550¡W",342681,-1192550
"259","Pueblo","Colorado",108249,106595,"0.0155",536,1987,"38.2731¡N 104.6124¡W",382731,-1046124
"260","HighPoint","North Carolina",107741,104371,"0.0323",538,1940,"35.9855¡N 79.9902¡W",359855,-799902
"261","WestCovina","California",107740,106098,"0.0155",160,6614,"34.0559¡N 117.9099¡W",340559,-1179099
"262","Richmond","California",107571,103701,"0.0373",301,3449,"37.9530¡N 122.3594¡W",379530,-1223594
"263","Murrieta","California",107479,103466,"0.0388",336,3081,"33.5719¡N 117.1907¡W",335719,-1171907
"264","Cambridge","Massachusetts",107289,105162,"0.0202",64,16469,"42.3760¡N 71.1183¡W",423760,-711183
"265","Antioch","California",107100,102372,"0.0462",283,3611,"37.9775¡N 121.7976¡W",379775,-1217976
"266","Temecula","California",106780,100097,"0.0668",302,3320,"33.5019¡N 117.1246¡W",335019,-1171246
"267","Norwalk","California",106589,105549,"0.0099",97,10873,"33.9069¡N 118.0834¡W",339069,-1180834
"268","Centennial","Colorado",106114,100377,"0.0572",287,3495,"39.5906¡N 104.8691¡W",395906,-1048691
"269","Everett","Washington",105370,103019,"0.0228",334,3080,"48.0033¡N 122.1742¡W",480033,-1221742
"270-(T)","PalmBay","Florida",104898,103190,"0.0166",657,1571,"27.9856¡N 80.6626¡W",279856,-806626
"270-(T)","WichitaFalls","Texas",104898,104553,"0.0033",721,1449,"33.9067¡N 98.5259¡W",339067,-985259
"272","GreenBay","Wisconsin",104779,104057,"0.0069",455,2289,"44.5207¡N 87.9842¡W",445207,-879842
"273","DalyCity","California",104739,101123,"0.0358",77,13195,"37.7009¡N 122.4650¡W",377009,-1224650
"274","Burbank","California",104709,103340,"0.0132",173,5959,"34.1890¡N 118.3249¡W",341890,-1183249
"275","Richardson","Texas",104475,99223,"0.0529",286,3474,"32.9723¡N 96.7081¡W",329723,-967081
"276","PompanoBeach","Florida",104410,99845,"0.0457",240,4160,"26.2426¡N 80.1290¡W",262426,-801290
"277","NorthCharleston","South Carolina",104054,97471,"0.0675",766,1393,"32.8853¡N 80.0169¡W",328853,-800169
"278","BrokenArrow","Oklahoma",103500,98850,"0.047",616,1605,"36.0365¡N 95.7810¡W",360365,-957810
"279","Boulder","Colorado",103166,97385,"0.0594",257,3947,"40.0175¡N 105.2797¡W",400175,-1052797
"280","WestPalmBeach","Florida",102436,99919,"0.0252",553,1807,"26.7483¡N 80.1266¡W",267483,-801266
"281","SantaMaria","California",102216,99553,"0.0267",228,4375,"34.9332¡N 120.4438¡W",349332,-1204438
"282","ElCajon","California",102211,99478,"0.0275",144,6892,"32.8017¡N 116.9605¡W",328017,-1169605
"283","Davenport","Iowa",102157,99685,"0.0248",629,1584,"41.5541¡N 90.6040¡W",415541,-906040
"284","Rialto","California",101910,99171,"0.0276",224,4437,"34.1118¡N 117.3883¡W",341118,-1173883
"285","Edison","New Jersey",101450,99967,"0.0148",30638,33390,"40.5039917N 74.3494111W",405039917,-743494111
"286","LasCruces","New Mexico",101324,97618,"0.038",763,1279,"32.3197¡N 106.7653¡W",323197,-1067653
"287","SanMateo","California",101128,97207,"0.0403",159,8014,"37.5542¡N 122.3131¡W",375542,-1223131
"288","Lewisville","Texas",101074,95290,"0.0607",425,2618,"33.0383¡N 97.0061¡W",330383,-970061
"289","SouthBend","Indiana",100886,101168,"-0.0028",415,2440,"41.6769¡N 86.2690¡W",416769,-862690
"290","Lakeland","Florida",100710,97422,"0.0338",744,1711,"28.0411¡N 81.9589¡W",280411,-819589
"291","Erie","Pennsylvania",100671,101786,"-0.011",191,5334,"42.1166¡N 80.0735¡W",421166,-800735
"292","Woodbridge","New Jersey",100574,99585,"0.0099",24587,42900,"40.56075¡N 74.29262¡W",4056075,-7429262
"293","Tyler","Texas",100223,96900,"0.0343",544,1782,"32.35¡N 95.30¡W",3235,-9530
"294","Pearland","Texas",100065,91252,"0.0966",475,1900,"29.5544¡N 95.2958¡W",295544,-952958
"295","CollegeStation","Texas",100050,93857,"0.066",496,1978,"30.6013¡N 96.3144¡W",306013,-963144
