"City","State","Change","lat","lon"
"Hollywood","Florida",0.0409,26.0311,-80.1646
"Paterson","New Jersey",-0.0017,40.9147,-74.1628
"Naperville","Illinois",0.0212,41.7492,-88.162
"Syracuse","New York",-0.0035,43.041,-76.1436
"Mesquite","Texas",0.0262,32.7639,-96.5924
"Dayton","Ohio",0.0129,39.7774,-84.1996
"Savannah","Georgia",0.0476,32.0025,-81.1536
"Clarksville","Tennessee",0.0709,36.5664,-87.3452
"Orange","California",0.026,33.8048,-117.8249
"Pasadena","California",0.019,34.1606,-118.1396
"Fullerton","California",0.0283,33.8857,-117.928
"Killeen","Texas",0.0721,31.0777,-97.732
"Frisco","Texas",0.1693,33.151,-96.8193
"Hampton","Virginia",-0.0054,37.048,-76.2971
"McAllen","Texas",0.0521,26.2185,-98.2461
"Warren","Michigan",0.0061,42.4929,-83.025
"Bellevue","Washington",0.095,47.5978,-122.1565
"West Valley City","Utah",0.0317,40.6885,-112.0118
"Columbia","South Carolina",0.0316,34.0298,-80.8966
"Olathe","Kansas",0.0478,38.8843,-94.8188
"Sterling Heights","Michigan",0.0118,42.5812,-83.0303
"New Haven","Connecticut",0.0068,41.3108,-72.925
"Miramar","Florida",0.0676,25.977,-80.3358
"Waco","Texas",0.0339,31.5601,-97.186
"Thousand Oaks","California",0.0162,34.1933,-118.8742
"Cedar Rapids","Iowa",0.0166,41.967,-91.6778
"Charleston","South Carolina",0.0659,32.8179,-79.9589
"Visalia","California",0.0267,36.3272,-119.3234
"Topeka","Kansas",0.0016,39.0362,-95.6948
"Elizabeth","New Jersey",0.0207,40.6663,-74.1935
"Gainesville","Florida",0.0252,29.6788,-82.3459
"Thornton","Colorado",0.0723,39.918,-104.9454
"Roseville","California",0.0694,38.7657,-121.3032
"Carrollton","Texas",0.0638,32.9884,-96.8998
"Coral Springs","Florida",0.0455,26.2708,-80.2593
"Stamford","Connecticut",0.0311,41.0799,-73.546
"Simi Valley","California",0.0156,34.2669,-118.7485
"Concord","California",0.0312,37.9722,-122.0016
"Hartford","Connecticut",0.0019,41.766,-72.6833
"Kent","Washington",0.3465,47.3853,-122.2169
"Lafayette","Louisiana",0.0303,30.2116,-92.0314
"Midland","Texas",0.115,32.0299,-102.1097
"Surprise","Arizona",0.0513,33.6706,-112.4527
"Denton","Texas",0.0857,33.2151,-97.1417
"Victorville","California",0.0448,34.5277,-117.3536
"Evansville","Indiana",0.0245,37.9877,-87.5347
"Santa Clara","California",0.0324,37.3646,-121.9679
"Abilene","Texas",0.0259,32.4545,-99.7381
"Athens","Georgia",0.0392,33.9496,-83.3701
"Vallejo","California",0.025,38.1079,-122.2639
"Allentown","Pennsylvania",0.0046,40.594,-75.4782
"Norman","Oklahoma",0.0656,35.2406,-97.3453
"Beaumont","Texas",-0.0042,30.0843,-94.1458
"Independence","Missouri",0.0035,39.0853,-94.3513
"Murfreesboro","Tennessee",0.0762,35.8522,-86.4161
"Ann Arbor","Michigan",0.0271,42.2756,-83.7313
"Springfield","Illinois",0.0065,39.7639,-89.6708
"Berkeley","California",0.0372,37.8667,-122.2991
"Peoria","Illinois",0.0131,40.7523,-89.6171
"Provo","Utah",0.0338,40.2453,-111.6448
"El Monte","California",0.0197,34.0746,-118.0291
"Columbia","Missouri",0.0625,38.9479,-92.3261
"Lansing","Michigan",-0.0028,42.7098,-84.5562
"Fargo","North Dakota",0.0768,46.8652,-96.829
"Downey","California",0.0132,33.9382,-118.1309
"Costa Mesa","California",0.0201,33.6659,-117.9123
"Wilmington","North Carolina",0.0525,34.2092,-77.8858
"Arvada","Colorado",0.0496,39.8097,-105.1066
"Inglewood","California",0.017,33.9561,-118.3443
"Miami Gardens","Florida",0.0393,25.9489,-80.2436
"Carlsbad","California",0.0536,33.1239,-117.2828
"Westminster","Colorado",0.0455,39.8822,-105.0644
"Rochester","Minnesota",0.0372,44.0154,-92.4772
"Odessa","Texas",0.1079,31.8804,-102.3434
"Manchester","New Hampshire",0.0074,42.9847,-71.4439
"Elgin","Illinois",0.0181,42.0396,-88.3217
"West Jordan","Utah",0.0614,40.6023,-112.001
"Round Rock","Texas",0.0995,30.5237,-97.6674
"Clearwater","Florida",0.0187,27.9795,-82.7663
"Waterbury","Connecticut",-0.0063,41.5585,-73.0367
"Gresham","Oregon",0.036,45.5023,-122.4416
"Fairfield","California",0.038,38.2568,-122.0397
"Billings","Montana",0.0469,45.7895,-108.5499
"Lowell","Massachusetts",0.022,42.6389,-71.3221
"Ventura","California",0.0224,34.2681,-119.255
"Pueblo","Colorado",0.0155,38.2731,-104.6124
"High Point","North Carolina",0.0323,35.9855,-79.9902
"West Covina","California",0.0155,34.0559,-117.9099
"Richmond","California",0.0373,37.953,-122.3594
"Murrieta","California",0.0388,33.5719,-117.1907
"Cambridge","Massachusetts",0.0202,42.376,-71.1183
"Antioch","California",0.0462,37.9775,-121.7976
"Temecula","California",0.0668,33.5019,-117.1246
"Norwalk","California",0.0099,33.9069,-118.0834
"Centennial","Colorado",0.0572,39.5906,-104.8691
"Everett","Washington",0.0228,48.0033,-122.1742
"Palm Bay","Florida",0.0166,27.9856,-80.6626
"Wichita Falls","Texas",0.0033,33.9067,-98.5259
"Green Bay","Wisconsin",0.0069,44.5207,-87.9842
"Daly City","California",0.0358,37.7009,-122.465
"Burbank","California",0.0132,34.189,-118.3249
"Richardson","Texas",0.0529,32.9723,-96.7081
"Pompano Beach","Florida",0.0457,26.2426,-80.129
"North Charleston","South Carolina",0.0675,32.8853,-80.0169
"Broken Arrow","Oklahoma",0.047,36.0365,-95.781
"Boulder","Colorado",0.0594,40.0175,-105.2797
"West Palm Beach","Florida",0.0252,26.7483,-80.1266
"Santa Maria","California",0.0267,34.9332,-120.4438
"El Cajon","California",0.0275,32.8017,-116.9605
"Davenport","Iowa",0.0248,41.5541,-90.604
"Rialto","California",0.0276,34.1118,-117.3883
"Edison","New Jersey",0.0148,40.5039917,-74.3494111
"Las Cruces","New Mexico",0.038,32.3197,-106.7653
"San Mateo","California",0.0403,37.5542,-122.3131
"Lewisville","Texas",0.0607,33.0383,-97.0061
"South Bend","Indiana",-0.0028,41.6769,-86.269
"Lakeland","Florida",0.0338,28.0411,-81.9589
"Erie","Pennsylvania",-0.011,42.1166,-80.0735
"Woodbridge","New Jersey",0.0099,40.56075,-74.29262
"Tyler","Texas",0.0343,32.35,-95.3
"Pearland","Texas",0.0966,29.5544,-95.2958
"College Station","Texas",0.066,30.6013,-96.3144
